G,Years,Days,Age,Team,Home,Win,Diff,Game Started,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,Total RB,AST,STL,BLK,TOV,PF,PTS,GmSc
23,24,305,24.83504449,CHI,0,0,-13,1,43,12,23,0,0,6,8,0,2,2,7,3,2,2,3,30,24.6
24,24,308,24.84325804,CHI,1,0,-11,1,41,11,20,0,1,6,7,4,2,6,7,4,2,4,4,28,26.1
25,24,309,24.84599589,CHI,0,0,-1,1,39,5,15,0,0,6,9,1,4,5,2,3,0,2,3,16,9.4
26,24,312,24.85420945,CHI,0,0,-14,1,34,6,22,0,0,5,6,2,4,6,6,0,2,5,3,17,5.6
27,24,315,24.862423,CHI,1,0,-10,1,43,16,37,0,2,7,9,6,2,8,6,5,0,2,5,39,28.7
28,24,319,24.8733744,CHI,1,1,23,1,37,9,19,0,0,7,7,3,7,10,10,6,3,1,4,25,32
29,24,322,24.88158795,CHI,1,1,16,1,38,12,20,0,0,7,8,6,5,11,9,4,5,2,5,31,36.9
30,24,324,24.88706366,CHI,1,1,4,1,42,11,22,0,0,6,11,3,6,9,5,6,4,3,2,28,27.4
31,24,326,24.89253936,CHI,1,1,22,1,38,17,23,0,0,11,14,1,2,3,8,4,0,1,3,45,43.2
32,24,329,24.90075291,CHI,1,0,-7,1,43,19,35,0,1,4,5,2,2,4,6,3,1,0,0,42,34.6
33,24,331,24.90622861,CHI,0,0,-3,1,45,12,24,0,1,4,6,3,1,4,7,1,2,4,3,28,19.7
34,24,333,24.91170431,CHI,1,1,16,1,38,12,26,0,0,12,13,4,6,10,10,4,4,3,3,36,36.4
35,24,335,24.91718001,CHI,1,1,14,1,39,13,19,0,0,7,10,0,3,3,7,5,0,2,4,33,30.9
36,24,336,24.91991786,CHI,0,0,-12,1,41,14,22,0,0,10,10,0,3,3,4,3,1,2,0,38,33.6
37,24,339,24.92813142,CHI,1,1,10,1,38,17,25,0,0,8,8,0,4,4,13,4,4,2,2,42,45.6
38,24,340,24.93086927,CHI,1,1,27,1,38,13,19,0,0,10,13,3,4,7,8,3,1,2,5,36,35.3
39,24,343,24.93908282,CHI,0,0,-4,1,40,13,26,1,1,7,10,2,5,7,5,2,1,6,5,34,20.9
40,24,344,24.94182067,CHI,0,1,10,1,46,12,21,1,1,12,12,2,2,4,7,2,1,2,5,37,32.7
41,24,346,24.94729637,CHI,1,1,27,1,27,14,18,0,0,4,5,0,1,1,4,10,2,3,1,32,35.7
42,24,347,24.95003422,CHI,1,1,2,1,44,10,17,0,1,8,8,1,4,5,4,2,4,5,3,28,23.4
