Age,Team,Home,Win,Game Started,Total RB,AST,PTS
26.1779603,CHI,1,0,1,5,3,25
26.70910335,CHI,1,1,1,14,6,54
26.7118412,CHI,1,0,1,5,6,24
26.72005476,CHI,1,1,1,5,7,40
26.72279261,CHI,0,1,1,6,2,45
26.72826831,CHI,0,0,1,6,5,26
26.73100616,CHI,1,1,1,4,6,25
26.73921971,CHI,0,1,1,13,7,27
26.74195756,CHI,0,0,1,10,3,40
26.75017112,CHI,0,0,1,6,7,32
26.75838467,CHI,0,0,1,0,7,16
26.76112252,CHI,0,1,1,7,7,34
26.76933607,CHI,0,1,1,14,9,29
26.77207392,CHI,0,0,1,7,4,26
26.77754962,CHI,1,1,1,9,13,22
26.78850103,CHI,0,1,1,5,7,36
26.79671458,CHI,1,1,1,17,7,35
26.80492813,CHI,0,0,1,8,10,36
26.80766598,CHI,1,1,1,9,9,29
26.81587953,CHI,1,1,1,7,7,41
26.82135524,CHI,1,1,1,7,5,38
26.82683094,CHI,1,1,1,9,7,33
26.83504449,CHI,1,1,1,7,5,37
26.83778234,CHI,0,0,1,5,7,52
26.84325804,CHI,0,1,1,4,4,29
26.84599589,CHI,0,0,1,4,6,16
26.85420945,CHI,1,1,1,2,4,28
26.862423,CHI,1,1,1,5,7,34
26.86516085,CHI,0,1,1,7,10,28
26.87611225,CHI,0,1,1,8,8,38
26.88158795,CHI,1,1,1,4,6,43
26.8843258,CHI,0,0,1,9,5,35
26.89253936,CHI,0,0,1,8,5,16
26.89527721,CHI,0,0,1,7,5,35
26.90075291,CHI,0,1,1,4,6,45
26.90349076,CHI,1,1,1,5,10,28
26.90896646,CHI,0,0,1,4,8,26
26.91718001,CHI,1,1,1,12,8,44
26.91991786,CHI,0,1,1,9,3,36
26.92539357,CHI,1,1,1,10,7,42
26.93086927,CHI,1,0,1,6,2,32
26.93908282,CHI,0,0,1,5,11,31
26.94182067,CHI,1,1,1,7,4,39
26.94729637,CHI,1,1,1,7,9,16
26.95550992,CHI,0,0,1,6,5,35
26.96098563,CHI,0,0,1,3,5,44
26.97193703,CHI,0,0,1,4,4,32
26.97467488,CHI,0,0,1,1,8,15
26.98836413,CHI,0,1,1,4,6,26
26.99110198,CHI,0,0,1,7,2,49
26.99657769,CHI,1,1,1,3,4,26
27.00273785,CHI,0,1,1,3,4,39
27.0054757,CHI,1,1,1,6,9,30
27.0164271,CHI,1,1,1,10,10,35
27.02190281,CHI,0,1,1,8,8,32
27.02737851,CHI,1,1,1,6,6,43
27.03559206,CHI,1,1,1,4,4,23
27.04106776,CHI,0,1,1,6,11,36
27.04654346,CHI,0,1,1,8,6,35
27.05201916,CHI,1,0,1,7,4,43
27.05749487,CHI,1,1,1,7,3,45
27.06570842,CHI,0,1,1,8,7,34
27.07392197,CHI,1,0,1,8,7,20
27.07665982,CHI,1,1,1,8,10,32
27.08487337,CHI,1,1,1,8,5,21
27.08761123,CHI,0,1,1,4,6,27
27.09308693,CHI,1,1,1,6,5,41
27.09582478,CHI,1,0,1,5,6,43
27.10130048,CHI,1,1,1,12,5,28
27.10677618,CHI,0,1,1,18,6,69
27.11225188,CHI,1,1,1,12,4,49
27.11772758,CHI,1,1,1,6,7,47
27.12320329,CHI,1,1,1,4,10,29
27.12867899,CHI,1,1,1,7,3,38
27.13415469,CHI,0,1,1,3,4,43
27.14510609,CHI,1,1,1,5,7,22
27.15058179,CHI,1,1,1,6,10,26
27.15331964,CHI,0,0,1,3,5,21
27.15879535,CHI,0,0,1,7,6,23
27.1615332,CHI,1,1,1,11,6,35
27.1670089,CHI,1,1,1,6,7,32
27.16974675,CHI,0,0,1,8,9,45
27.17522245,CHI,0,0,1,10,4,22
27.7063655,CHI,1,0,1,5,7,34
27.70910335,CHI,0,0,1,10,1,28
27.71731691,CHI,1,0,1,8,12,33
27.72005476,CHI,0,1,1,5,6,17
27.72553046,CHI,0,1,1,5,6,41
27.72826831,CHI,1,1,1,6,8,23
27.73648186,CHI,0,1,1,11,5,29
27.74195756,CHI,0,0,1,8,6,14
27.74743326,CHI,0,1,1,4,3,33
27.75017112,CHI,0,0,1,5,7,29
27.75838467,CHI,0,0,1,4,4,34
27.76386037,CHI,0,1,1,6,7,14
27.76659822,CHI,0,1,1,7,12,38
27.77754962,CHI,1,1,1,2,7,24
27.78302533,CHI,1,1,1,5,3,37
27.78576318,CHI,0,1,1,2,4,32
27.79397673,CHI,1,1,1,4,7,27
27.80219028,CHI,1,1,1,7,9,33
27.80492813,CHI,1,0,1,6,3,35
27.81314168,CHI,0,0,1,4,5,31
27.82135524,CHI,1,1,1,8,8,20
27.82409309,CHI,1,1,1,9,6,24
27.83230664,CHI,1,1,1,9,6,39
27.83504449,CHI,0,0,1,5,6,33
27.84052019,CHI,1,1,1,15,9,33
27.84325804,CHI,1,1,1,7,5,29
27.85147159,CHI,1,1,1,8,3,37
27.8569473,CHI,1,1,1,14,7,42
27.862423,CHI,1,1,1,10,4,31
27.87611225,CHI,0,0,1,3,7,32
27.88158795,CHI,1,1,1,3,4,30
27.88980151,CHI,1,1,1,6,4,41
27.89253936,CHI,0,1,1,4,9,40
27.89801506,CHI,1,1,1,6,6,31
27.90075291,CHI,0,1,1,3,3,33
27.90622861,CHI,1,1,1,10,9,34
27.91170431,CHI,0,1,1,4,4,29
27.91718001,CHI,0,0,1,7,8,30
27.92539357,CHI,0,1,1,6,5,37
27.93086927,CHI,0,0,1,6,5,35
27.93634497,CHI,1,1,1,3,2,26
27.95277207,CHI,0,0,1,3,3,36
27.95550992,CHI,0,1,1,6,8,31
27.96098563,CHI,0,0,1,7,9,23
27.96372348,CHI,0,1,1,2,5,24
27.97193703,CHI,0,1,1,9,3,30
27.98562628,CHI,1,1,1,4,7,32
27.99110198,CHI,0,1,1,2,3,29
27.99657769,CHI,1,1,1,11,7,26
28.00273785,CHI,0,1,1,6,5,32
28.0054757,CHI,1,1,1,12,4,40
28.01368925,CHI,1,1,1,3,4,34
28.0164271,CHI,1,1,1,3,3,29
28.02464066,CHI,1,1,1,8,4,39
28.03285421,CHI,1,1,1,11,8,29
28.03559206,CHI,0,0,1,5,2,22
28.04380561,CHI,1,1,1,9,2,30
28.05201916,CHI,1,1,1,5,2,37
28.05749487,CHI,0,1,1,9,9,25
28.06297057,CHI,1,1,1,5,10,20
28.06570842,CHI,0,1,1,8,4,39
28.07118412,CHI,0,1,1,5,8,34
28.07392197,CHI,0,1,1,3,3,37
28.07939767,CHI,1,1,1,6,2,31
28.08487337,CHI,1,1,1,5,11,22
28.09034908,CHI,0,0,1,5,5,20
28.09308693,CHI,1,1,1,2,5,39
28.09856263,CHI,1,0,1,7,4,34
28.10677618,CHI,0,1,1,1,4,42
28.10951403,CHI,0,1,1,5,5,20
28.11498973,CHI,0,0,1,7,9,37
28.12046543,CHI,1,1,1,4,6,44
28.12594114,CHI,0,1,1,8,4,34
28.12867899,CHI,1,0,1,5,9,39
28.13415469,CHI,1,0,1,4,5,41
28.13963039,CHI,1,1,1,6,8,28
28.14236824,CHI,0,1,1,5,4,28
28.14784394,CHI,0,0,1,8,4,40
28.15605749,CHI,1,1,1,5,2,46
28.1615332,CHI,0,1,1,5,5,26
28.1670089,CHI,0,1,1,5,5,41
28.1724846,CHI,1,1,1,3,1,18
28.70362765,CHI,1,1,1,5,4,26
28.7063655,CHI,0,0,1,3,3,46
28.71457906,CHI,1,0,1,7,4,40
